Time,CV,MV,MVSP,DV1,DV2,DV3
321,72.08149719,46.58060074,46.59870148,70.99990082,24087.40039,0.62834698
322,72.07920074,46.56909943,46.58369827,70.99990082,24123.90039,0.628831983
323,72.07099915,46.56940079,46.59820175,70.99990082,24156.5,0.628889024
324,72.07769775,46.56090164,46.56349945,70.99990082,24116,0.630438983
325,72.08459473,46.55765152,46.56349945,70.99990082,24117.30078,0.630033016
326,72.09149933,46.5544014,46.54859924,70.99990082,24118.59961,0.629626989
327,72.08149719,46.55599976,46.54919815,70.99990082,24071.80078,0.630344987
328,72.09719849,46.55699921,46.56000137,70.99990082,24124.5,0.627462983
329,72.07089996,46.5447998,46.57540131,70.99990082,24112.30078,0.628414989
330,72.1026001,46.54949951,46.54729843,70.99990082,24125.19922,0.629850984
331,72.09500122,46.54000092,46.54729843,70.99990082,24121,0.629904032
332,72.08740234,46.5304985,46.54859924,70.99990082,24116.80078,0.62995702
333,72.09249878,46.55479813,46.52909851,70.99990082,24101.40039,0.630482018
334,72.06600189,46.55149841,46.58259964,70.99990082,24095.40039,0.630510986
335,72.07029724,46.53030014,46.54800034,70.99990082,24161.59961,0.629751027
336,72.06439972,46.54000092,46.58739853,70.99990082,24087.30078,0.630712986
337,72.07475281,46.53720093,46.58739853,70.99990082,24107.90039,0.630487978
338,72.08509827,46.53440094,46.52759933,70.99990082,24128.5,0.630262971
339,72.07209778,46.56000137,46.55889893,70.99990082,24121.09961,0.630266011
340,72.04869843,46.54230118,46.58300018,70.99990082,24107.59961,0.629298985
341,72.0739975,46.53720093,46.52170181,70.99990082,24144.30078,0.629248023
342,72.08730316,46.56259918,46.52489853,70.99990082,24072.40039,0.629927993
343,72.08415222,46.55360031,46.52489853,70.99990082,24094.60156,0.629598022
344,72.08100128,46.54460144,46.54529953,70.99990082,24116.80078,0.629267991
345,72.08159637,46.55519867,46.52059937,70.99990082,24081.5,0.630427003
346,72.07029724,46.55270004,46.54389954,70.99990082,24079.30078,0.630460978
347,72.08670044,46.55220032,46.5177002,70.99990082,24124.90039,0.629248023
348,72.07499695,46.53020096,46.54029846,70.99990082,24096.69922,0.631479979
349,72.07139587,46.52059937,46.54029846,70.99990082,24085.55078,0.63131398
350,72.06780243,46.51100159,46.50249863,70.99990082,24074.40039,0.631147981
351,72.05599976,46.51279831,46.54919815,70.99990082,24110.59961,0.630375028
352,72.06610107,46.51110077,46.54529953,70.99990082,24090.40039,0.630914986
353,72.06330109,46.51210022,46.53079987,70.99990082,24108.5,0.631246984
354,72.0684967,46.52669907,46.53300095,70.99990082,24087.40039,0.632126987
355,72.06309509,46.52659988,46.53300095,70.99990082,24104.90039,0.63084197
356,72.05770111,46.5265007,46.51570129,70.99990082,24122.40039,0.629557014
357,72.05709839,46.51919937,46.54769897,70.99990082,24073.80078,0.631672025
358,72.05760193,46.5320015,46.52349854,70.99990082,24074.90039,0.629840016
359,72.06099701,46.5007019,46.50450134,70.99990082,24105,0.629413009
360,72.0789032,46.52669907,46.48130035,70.99990082,24079,0.630235016
361,72.07875061,46.52864838,46.48130035,70.99990082,24079.84961,0.63064754
362,72.07859802,46.5306015,46.52999878,70.99990082,24080.69922,0.631060004
363,72.07240295,46.51750183,46.48210144,70.99990082,24110.30078,0.630358994
364,72.06770325,46.50999832,46.51580048,70.99990082,24062.59961,0.631210029
365,72.0625,46.51900101,46.51459885,70.99990082,24057.90039,0.630384982
366,72.07769775,46.51129913,46.49509811,70.99990082,24085.09961,0.630685985
367,72.06880188,46.51445007,46.49509811,70.99990082,24102.14844,0.630151987
368,72.05989838,46.51760101,46.50790024,70.99990082,24119.19922,0.629617989
369,72.06060028,46.49620056,46.51309967,70.99990082,24130.5,0.630102992
370,72.06220245,46.50450134,46.52479935,70.99990082,24099.69922,0.631310999
371,72.06089783,46.47980118,46.47169876,70.99990082,24106.30078,0.629981995
372,72.06860352,46.48429871,46.49679947,70.99990082,24102.40039,0.630528986
373,72.06965637,46.4890976,46.49679947,70.99990082,24094.25,0.630658031
374,72.0707016,46.4939003,46.48929977,70.99990082,24086.09961,0.630787015
375,72.05339813,46.48659897,46.50289917,70.99990082,24109.5,0.631392002
376,72.04920197,46.49399948,46.47340012,70.99990082,24126,0.629890025
377,72.06860352,46.47919846,46.46969986,70.99990082,24105.69922,0.630217016
378,72.0605011,46.47470093,46.50770187,70.99990082,24076.09961,0.631669998
379,72.06370544,46.47249985,46.50770187,70.99990082,24092.30078,0.630931497
380,72.06690216,46.47029877,46.48830032,70.99990082,24108.5,0.630192995
381,72.03710175,46.47919846,46.49919891,70.99990082,24084.30078,0.630423009
382,72.07920074,46.48040009,46.45959854,70.99990082,24106.40039,0.630316019
383,72.07019806,46.48630142,46.45019913,70.99990082,24087.40039,0.630218983
384,72.05770111,46.47409821,46.47539902,70.99990082,24127.5,0.629221022
385,72.06680298,46.4884491,46.47539902,70.99990082,24104.30078,0.629917026
386,72.07589722,46.50279999,46.4776001,70.99990082,24081.09961,0.630613029
